concept	182 0
non-empty	5 0
saying	0 17
inconsistent	0.16 43.84
misclassified	40 0
alluded	7 0
representatives	5 0
pushing	0.18 11.82
marvin	6.48 0.52
finishes	0.02 4.98
bowl	8.28 0.72
counter-example	4 0
consensus	1.84 17.16
anything	35.98 0.02
poles	16 0
afford	9.98 0.02
positive-real	0.36 0.64
renders	27 0
impedances	0.02 5.98
transamp	0 2
photoreceptor	0 28
admittance	0 3
modulus	13 0
nyquist	0.14 6.86
large-signal	0 4
parasitic	0 20
luo	3.22 0.78
ils	6 0
harmonic	0 37
popov	2 0
outset	5.12 1.88
profiles	0 38
bob	7 0
dnf	6 0
eralization	30 0
steve	0 45
profile	0 60
designated	25 0
learners	23.96 0.04
gluck	0 13
generaliza-	44 0
adap-	0 32
gordon	14 0
biasing	0.16 23.84
pavel	2.34 0.66
aaa	1.56 7.44
categorized	0 18
jects	17 0
henkle	0.52 0.48
determinants	5.98 0.02
sel	1.98 3.02
minimiz-	5 0
medin	0.64 2.36
constraining	0 47
indicative	0.62 24.38
moore	45 0
er	58.98 0.02
pointing	0 51
peo-	0 4
andrews	4 0
preferentially	0 19
selec-	0.02 22.98
feedfor-	0.02 18.98
nips	100 0
masks	0 13
polarities	4.92 1.08
imum	36 0
scientist	5 0
bienenstock	11.72 0.28
barrow	0.02 5.98
pervised	0 24
alfred	10.74 0.26
weight-update	2.7 1.3
unsu-	17 0
terence	0 7
min-	55.98 0.02
oja	17 0
implication	0.04 25.96
inns	2.28 5.72
quantizing	12 0
auto-association	8 0
sanger	14.96 0.04
stereograms	0 7
disparity	0 29
nato	0.02 21.98
random-dot	16.92 0.08
gratitude	0 8
left-to-right	0.08 20.92
m-vector	4 0
investigators	0 16
rectification	0.3 21.7
people	0 83
bourlard	23 0
derstanding	5 0
eigenvector	38 0
random-	5 0
ty	21 0
logarithmically	11.46 11.54
task-specific	10.98 0.02
translating	0 25
modi-	5.64 3.36
rein-	0.04 25.96
trunk	0 4
pursue	14.96 0.04
pushed	0 29
occasionally	35.68 0.32
fy	0.08 6.92
limbs	0 5
gles	3.74 2.26
do-be	0.38 0.62
ata	4.98 0.02
positioning	0 23
overshoot	0 12
kine-	0 6
jordan	132 0
reverses	0 7
orienting	0 10
shrinks	0 10
clip	0 4
rent	0.12 43.88
sure	57 0
memorandum	1.32 5.68
cheap	0 16
watching	0 9
df	13.34 0.66
criticized	0.14 8.86
time-per-goal	0.4 0.6
input-space	0 5
input-dependent	8 0
miyata	2.02 3.98
reuse	10 0
reachable	0 14
alvis	0.36 0.64
matics	6.96 0.04
shadow	0 11
inability	0 35
backpropagate	0 11
incompletely	4.98 0.02
sixty	0.04 3.96
petitive	11.8 0.2
biggest	12 0
do-	12.56 6.44
up-	24.92 0.08
rameter	0 22
troller	10.96 0.04
casdagli	7 0
hi-	5.48 0.52
multitude	11 0
hash	3.98 0.02
dimen-	33.28 15.72
resolutions	0 22
finest	0 9
formu-	14 0
orbits	8 0
b-spline	0 7
allo-	7 0
overlayed	0.02 4.98
lattices	4 0
fined	19.82 0.18
coarser	0.04 14.96
disparate	0 17
byte	0.1 11.9
non-parametric	34.18 0.82
corn-	13 0
ef-	35 0
rts	0.06 3.94
sub-linearly	4 0
expansions	38 0
rnsec	0 4
mackey-glass	3.72 14.28
coarsest	3.12 0.88
classifica-	31 0
b-splines	0 6
exploited	66.5 1.5
discovers	0 34
nettalk	12 0
jon	0.02 5.98
combiner	2.32 1.68
kalman	37.48 3.52
remedied	3.98 0.02
manipulators	7 0
gmdh	5 0
plagued	0.28 9.72
follow-	8 0
k-d	11 0
multiresolution	0 21
b-	16.94 0.06
pronounce	11.98 0.02
locally-tuned	29.58 0.42
multi-resolution	0 19
queen	12 0
su-	0.04 15.96
many-to-one	9 0
hashing	0 6
multigrid	0.02 5.98
poster	0 5
lookup	29.32 3.68
sensor-based	0.02 3.98
ficient	18 0
timeseries	0.56 0.44
chris	47.94 0.06
hand-written	17 0
becker	24 0
insignificant	16 0
sue	0.04 6.96
wolfe	8.98 0.02
capital	19 0
berkeley	1.96 39.04
ab-	16 0
rior	10.96 0.04
educational	0 7
sev-	25 0
parallelizable	2 0
rer	2 0
rcr	2 0
inexact	6 0
stor-	4.82 0.18
mateo	17.24 0.76
hessian	92 0
sum-squared	0 13
services	13 0
dk	19 0
problem-specific	0.04 6.96
addison-wesley	0 13
owij	0 12
wk	18 0
greg	9 0
yan	2.98 0.02
weightspace	2 0
weight-decay	10 0
epoch	69.86 0.14
kramer	4.98 0.02
sum-	0.24 19.76
wall	31.96 4.04
gradient-based	35 0
mazimum	7.92 0.08
suf-	14 0
supe-	4 0
asking	0 24
prob	7.98 0.02
sangiovanni-vincentelli	2 0
polak-ribiere	2 0
linesearch	3 0
iter-	14 0
confine	0 12
suffers	59.78 0.22
children	0.08 29.92
subsumption	4 0
reweighted	0.84 5.16
quotient	11 0
specializations	0 5
varieties	0.02 8.98
superset	0 11
belew	8 0
posts	3.98 0.02
davis	0 25
appropriateness	7 0
stewart	6 0
holland	0 12
searchers	0 8
wonder	8.76 0.24
intemal	0 9
entities	0.02 15.98
wayne	0 3
taxes	4 0
acti-	1.6 20.4
favoring	5.56 11.44
top-level	7.98 0.02
vation	0.62 25.38
cs	0 39
cycling	13 0
craig	4.54 3.46
companion	4.08 3.92
weakest	7 0
parents	29.98 0.02
bid	0 2
individuals	0 31
bbn	3.56 2.44
wesley	10 0
re-weighted	3.98 0.02
markedly	0.02 16.98
import	1.52 2.48
refinements	13.86 0.14
technologies	35 0
ternary	6.86 0.14
senn	0 3
sonn	0.52 4.48
dim	11 0
named	28 0
run-time	10 0
hypersurface	3.74 3.26
roots	22 0
dam	6.96 0.04
mdl	20 0
optimizes	38.72 0.28
accepting	30 0
kl	37 0
kr	0 8
tree-like	4 0
iee	15 0
parent	36.9 0.1
acceptance	0 21
aixi	4 0
provisions	7 0
rmse	11 0
discard	26.94 0.06
tentative	10 0
tim	0 25
pression	8.78 3.22
concisely	5.84 0.16
nent	25 0
verge	0 9
spa	1.24 0.76
amples	22 0
noticing	7 0
or-	31.96 0.04
plication	11 0
xb	7.98 0.02
xt	79 0
decomposing	17 0
xd	4.92 0.08
ab	17 21
trices	0 11
ip	12.84 0.16
cottrell	0.1 24.9
back-propagate	9 0
multiplicity	7 0
extensional	9 0
predicate	11 0
sweeps	0.26 35.74
implausible	12.94 0.06
partitions	63 0
tra	0.24 4.76
tually	7 0
rosenblatt	4.98 0.02
logically	0.42 11.58
weizmann	0 12
rehovot	0 10
eytan	0 14
clumps	6.88 0.12
sour	6 0
winter	8 0
plaut	0 6
worry	5.98 0.02
mh	0 9
schwartz	0 22
round-off	0.02 3.98
aborted	2.22 2.78
illl	0.04 4.96
nowlan	44 0
janssen	2 0
solla	37 0
ronny	5 0
meir	15 0
rejecting	20 0
blame	6 0
isting	6 0
complez	14 0
integer-valued	5 0
insert	0 30
plr	0.62 1.38
ahd	0 3
hidden-layer	12.64 2.36
chir	4 0
vanishing	23.98 0.02
error-free	0 7
inrep	0 2
corrective	0 15
domany	10 0
jackel	0.06 9.94
imax	6.96 0.04
plenary	4.96 0.04
vapnik	39 0
learner	84 0
shattered	15 0
sink	0 11
specialize	19 0
littlestone	13 0
overviews	3.98 0.02
haussler	33 0
priate	1.78 11.22
innovative	1.26 6.74
thumb	14 0
disagrees	8 0
shatter	5.98 0.02
slicing	5.98 0.02
proteins	0 18
dichotomy	17.98 0.02
dence	38 0
counteract	0.5 12.5
ples	28.98 0.02
selections	9 0
rivest	14 0
distribution-free	11 0
ana	5 0
acknowl-	5.7 0.3
sf	0 4
worst-case	28.96 0.04
crude	0.12 45.88
vapnik-chervonenkis	33 0
bitrary	5 0
attacked	12 0
contexts	38.96 0.04
sauer	4 0
cruz	7.98 0.02
protocol	0 23
corollaries	4 0
reprint	7 0
knew	13 0
rectly	18.98 0.02
sharper	0 22
certainty	0.02 42.98
acyclic	33 0
dichotomies	18 0
families	36.98 0.02
composing	2.62 18.38
nick	9 0
chervonenkis	9 0
gx	0.02 5.98
mization	32 0
factoring	13 0
perature	5.98 0.02
eration	16 0
bining	5 0
quenched	0 8
balances	0.06 15.94
zip	2.44 32.56
annealed	29 0
lems	32 0
combi-	0 22
fixed-point	35 0
speedups	15 0
sat-	7 0
bout	0 4
possessing	0 16
ece	0 5
recast	8 0
palmer	1.32 10.68
ncsu	0.54 0.46
bisection	0.02 6.98
natorial	4.98 0.02
bilbro	4 0
carolina	4.88 2.12
freezing	8.98 0.02
ssa	3 0
exerted	0.04 4.96
freeze	13 0
nical	23.74 0.26
laxation	4 0
porting	0 5
correspond-	30.94 0.06
mfa	3 1
relaxations	0 3
schedules	28.92 0.08
martin	0.02 58.98
bipartitioning	0.58 0.42
frame-	33 0
idealized	24 0
nc	28 0
oak	14 0
vq	0.06 19.94
qian	0 8
sistency	3 0
titis	7 0
time-consuming	20.18 0.82
racing	0.78 2.22
specialist	0 3
nnits	5 0
tremendously	4.96 0.04
tency	6.96 0.04
preferable	31.94 0.06
transitivity	2 0
nation	0.04 23.96
uninteresting	5 0
parison	5.8 6.2
snn	0 11
rsp	1.34 2.66
tackled	0 15
higher-level	34 0
thor	5 0
decent	0.06 10.94
invert	30 0
evalu-	0.26 13.74
cp	0.02 14.98
witit	0 3
advocate	0 10
dead	0.02 14.98
thinks	0 7
bc	22 0
default	53.3 2.7
test-	0.02 13.98
proves	45 0
est	0 20
tricks	8 0
impression	0 10
arid	6 0
vey	0 5
trim	0 6
fat	16 0
discriminates	0.02 11.98
opted	0 5
pratt	0 7
rule-plus-exception	3 0
approxi-	75 0
founda-	0.02 12.98
input-hidden	0.02 11.98
four-bit	2.22 3.78
speeding	14.98 0.02
attend	0.02 14.98
succeeded	0.04 22.96
innervated	0.02 8.98
counted	0.28 33.72
pur-	13.3 0.7
skeletonization	0.58 2.42
conversations	0.66 18.34
drop	78.18 0.82
trimmed	5 0
fluctuates	9.96 0.04
sheer	0 7
enormous	25.72 2.28
cri-	13 0
salience	0.02 9.98
mozer	60 0
geoff	0 21
spare	4 0
wheels	0.02 4.98
cancel	0.02 34.98
decline	0 7
ordinal	0 6
hidden-output	10 0
dominating	11.54 1.46
grossly	0 11
elaborated	0.02 13.98
erally	0 10
relevance	84.98 0.02
east	24 0
disrupt	0.02 7.98
trimming	1.68 10.32
squashing	33 0
identi-	0 20
cedure	14 0
contingent	0 12
obscured	0.02 5.98
attentional	0 41
exceptional	7 0
underestimates	7.98 0.02
retrained	20.58 0.42
more-or-less	5 0
functionality	0 36
mcdonnell	0 29
moid	6 0
redefinition	6 0
mul-	39.82 4.18
gation	0.04 22.96
redefining	7 0
backpropa-	9.54 0.46
ig	8 0
expectations	75.98 0.02
pcg	2 0
petition	0.02 3.98
eu	9.96 0.04
posteriori	47.98 0.02
tilayer	6 0
dient	19 0
yair	5 0
sian	43 0
m-th	13 0
gersho	6 0
allen	0.04 19.96
equi-probable	5 0
emitted	0 18
lk	10 0
pr	1.42 16.58
pu	5.88 2.12
py	7.98 0.02
waining	2.82 1.18
feed-back	3.26 1.74
gt	24 0
ministic	13 0
bpn	2 0
beneficial	44 0
emits	1.02 10.98
gaus-	48 0
aud	10 0
rightmost	6.36 21.64
prespecified	17 0
percep-	33 0
uncorrupted	6 0
superpositions	23 0
high-speed	0 20
hole	0 9
single-output	4 0
interpolates	12 0
noise-	5.4 5.6
underwater	0 5
hnear	10 0
oue	3.32 0.68
echo	0.02 11.98
linearities	0.04 5.96
hue	0.22 7.78
chpping	0.5 0.5
sohd	1.84 1.16
tron	11 0
nonhnear	2.94 1.06
miles	0 7
equalization	15 0
frmn	5 0
beckman	0 18
telephone	28.82 0.18
acoustics	24 0
trons	5.98 0.02
pothesis	1.18 6.82
titat	1.92 1.08
sinewave	4 0
strikes	0 6
nonhnearity	0.48 0.52
depart-	0 12
linearizing	0 9
singhal	4 0
prager	0.18 1.82
filling	12 0
kahnan	0.7 0.3
randomized	37.64 0.36
thein	0.58 2.42
ijth	5 0
x-	27.64 0.36
copyright	8 0
wu	0 24
componentwise	5.98 0.02
neglecting	29 0
backprop	28.3 21.7
taylor	80 0
shikano	5 0
lang	23 0
sped	7 0
pseudo-newton	2.8 0.2
rd	0 16
funded	19.16 60.84
mor-	11.98 0.02
tronic	0.02 5.98
tages	10 0
perturbing	22 0
af-	0 18
facilitated	0 13
orient	0 12
reinforce-	16.46 6.54
tivities	0.14 4.86
inverts	0 5
inefficient	33 0
anandan	3.98 0.02
oxi	5 0
vergence	23 0
crawfords	11 0
sensible	45 0
gan	13.64 0.36
gemini	2 0
perturbed	33 0
ontario	17 0
non-input	5 2
associates	0 24
overcomes	20 0
recurslye	9 0
barak	14.54 0.46
suddenly	0 14
imation	29.34 0.66
ottaway	0.48 0.52
undesired	8 0
sixteen	0.66 10.34
tinit	0 4
jour-	4.08 9.92
violated	0.1 16.9
tuple	12.94 0.06
jacobian	47.96 0.04
vmue	7 0
propagates	0 33
homotopy	1.54 1.46
runaway	2.02 3.98
rbp	0 3
unclamped	11 0
resentations	0 19
thc	0 11
one-to-many	7 0
propagations	3 0
patrice	17.96 0.04
backpropaga-	0 23
completions	0.04 4.96
simard	28 0
magazine	7 0
incomplete	103 0
separa-	0.04 8.96
quicker	14.9 0.1
urbana-champaign	6.94 0.06
versity	30 0
abroad	3 0
uni-	65 0
log-log	13 0
advocates	4.52 2.48
organ-	0.06 3.94
d-	27 0
tribute	7.68 0.32
ahmad	11.96 0.04
ternational	13 0
tremendous	17 0
lift	0 8
condensation	8 0
rom	0 4
exercise	14 0
benchmark	96.98 0.02
heuris-	5 0
tawel	2 0
escapes	7.66 0.34
nec-	0 6
ouput	9 0
richness	0.02 9.98
rw	0.02 7.98
temper-	3.16 1.84
olds	0 7
labora-	8 0
raoul	0.68 1.32
plain	15 0
pressed	0.02 11.98
insofar	6 0
putation	23.64 2.36
nn	47 0
reconfigurable	0 14
presenta-	4.82 0.18
scal-	5 0
terized	3.22 1.78
mth	6 0
moidal	13 0
focussing	0 7
low-order	0 19
proposals	0.1 11.9
ffts	0 5
rutgers	18 0
non-monotonic	15 0
anomalous	0 12
lse	4 0
ceiling	8 0
kindly	8.86 0.14
wn	11 0
isolating	0.02 5.98
lorien	3 0
non-singular	9 0
wadsworth	19.96 0.04
bellcore	12 0
kx	6.96 0.04
gelatt	6 0
unnecessarily	4.16 8.84
nth	0 23
sidelobes	0.56 0.44
normalizes	0 24
ambiguity	0.06 46.94
dm	0 19
flanked	1.92 0.08
ql	14.94 0.06
complicate	11.98 0.02
resolves	0 9
arborizations	0.02 2.98
toeplitz	3.98 0.02
wnm	2 0
shallower	3.12 2.88
remote	35 3
outlining	3.18 0.82
reformulating	5.98 0.02
parker	0.08 4.92
stably	0 15
laying	8 0
analogously	18.74 0.26
pulse-coded	0 4
unconditional	15 0
rescorla	0 3
lev-	6 0
mcnaughton	0 8
halted	9 0
accelerated	0 22
volts	0 6
soundness	5 0
bridging	2.04 2.96
time-derivative	0 7
isi	0.04 11.96
indebted	24.92 0.08
reifsnider	0.28 0.72
pavlovian	0.1 7.9
parallels	0.82 10.18
tives	14.94 0.06
drastically	46 0
thompson	0 9
govern	0.08 23.92
textbooks	6.96 0.04
justified	54 0
residual	93.48 0.52
refor-	0 3
mulating	0 5
unintended	0 4
neuronally	0 5
tioning	4.82 0.18
vor	0 11
memorial	0 5
roscience	0.02 5.98
els	36.78 2.22
inter-stimulus	0.08 6.92
temporal-difference	12.96 0.04
backpropogation	7 0
differencing	0.02 7.98
nectionist	0.06 24.94
pared	2.98 26.02
panels	0 18
af	24 0
car-	0 7
drafts	9.78 0.22
leung	0 4
nor-	29.92 0.08
excised	2.3 2.7
malization	0.02 6.98
ined	0.02 7.98
prod-	0.02 7.98
sistently	0 4
acoustic-phonetic	0 13
ognize	5 0
corpus	0 43
seneft	0.04 2.96
trol	0 41
ba-	0 15
listeners	0 12
envelopes	3.02 2.98
hong	19.96 1.04
timit	21.84 0.16
durational	3.98 0.02
bution	51 0
zue	0 3
female	0 25
heterogeneous	4.58 23.42
congress	7.34 12.66
investiga-	0 5
syllabic	0 3
japanese	19 0
bdg	1.8 0.2
tabulation	6 0
bdg-net	0.58 0.42
phonemic	0 23
telephony	0.16 8.84
tdnns	10 0
all-net	0.32 0.68
tdnn	0.56 34.44
voiceless	4 0
akeady	0 4
interclass	0.48 0.52
alex	40.1 1.9
sham	0.64 2.36
within-	0 4
consonant	0.08 21.92
waibel	0 41
subcomponent	0.5 0.5
reprinted	0 13
filterbank	1.44 4.56
bdg-	0.48 0.52
fastest	39.78 0.22
stead	5 0
isolation	0 24
consonants	20 0
featural	0 9
fahlman	19 0
monolithic	0 12
retrain	8 0
fricatives	3.84 0.16
unvoiced	0 3
discriminatory	8 0
insensitivity	12 0
methodologies	0.58 13.42
subclasses	1.68 6.32
nasals	0 5
data-driven	18 0
kiang	1.48 0.52
extractors	5.78 0.22
cosi	0.02 2.98
neurophysiologists	0 5
instantiation	22 0
mori	0.1 7.9
consonant-vowel	0.4 5.6
merlo	0 3
deficiencies	8.94 0.06
renato	0.22 3.78
aaai	21.88 11.12
cardin	2.16 0.84
lam	3 0
cascade	0 45
band-limited	0 8
extractor	0 13
subtask	2.98 0.02
workload	3 0
front-end	0.5 22.5
auditory-nerve	0 5
basilar	0 10
seneff	0.02 1.98
vocal	0 16
procedural	0.28 7.72
event-driven	0 4
voices	4 0
mcgill	0.26 8.74
syllable	0 12
sonorant	0 3
pronounciations	1.64 0.36
taps	0 15
di	64 0
yoshua	17.96 0.04
time-shifted	0 4
sachs	2.74 0.26
italy	16 0
pac	37 0
bengio	0 24
clark	0 12
morphologies	0 7
pes	6 0
expertise	8 0
mitsuo	3.56 8.44
sicl	0.6 0.4
thej-th	0.44 1.56
ieice	12 0
parcor	0.02 2.98
prosodic	7.44 0.56
synthesizer	0 7
social	0 13
cl	46.94 0.06
mse	57 0
uj	28 0
tanaka	0.02 8.98
president	0.62 1.38
cific	0.88 8.12
chains	42.18 3.82
canonical	54 0
widening	5.98 0.02
misfires	1.74 0.26
erich	1.7 3.3
lowering	0.06 23.94
titions	3.98 0.02
espe-	10 0
disabled	0 9
clude	0 12
represent-	0 12
veto	0.02 5.98
mem-	0 58
regulation	21.7 9.3
alarm	0 19
smythe	0.24 0.76
mittee	5 0
histories	0.04 11.96
preparing	0.02 9.98
duced	0 22
detec-	18.98 0.02
sub-networks	5 0
ior	0 11
decayed	0.02 15.98
vide	16 0
transi-	2.66 12.34
distin-	0 9
warping	8.3 17.7
s-node	1.44 0.56
donald	12 0
cially	14 0
modality	0 14
tran-	31 0
syren	0.36 0.64
unfolding	9.94 0.06
roc	17.74 1.26
lehky	0 4
inaccurate	32.68 0.32
historically	0 5
sidney	0 2
convincingly	0.02 7.98
aloud	0.02 3.98
inconsistencies	11 0
oxford	31.58 45.42
zipser	0 22
verifying	11 0
witness	4 0
randall	0.08 5.92
flare	0.14 3.86
prospect	0.06 5.94
delineated	4.1 4.9
jay	0 7
yes	0.04 13.96
forecast	0 10
clayton	4.64 0.36
forecasting	36 0
tough	0 4
instructing	4.74 2.26
compile	3 0
engineers	0 13
theo	0 4
bal-	3.4 1.6
claimed	28 0
pat	0 6
forecasts	7 0
alarms	14 0
tracked	0 25
solar	3.94 0.06
departments	0 21
theonet	0.34 0.66
datum	15 0
investment	13.94 0.06
ates	7.9 0.1
goodness-of-fit	3.98 0.02
itrule	1.2 0.8
hides	0 5
advent	0 6
truth	0.02 18.98
logs	11 0
semantics	17.06 4.94
information-	8.94 0.06
beta	20 0
diver-	0.7 5.3
grove	13.94 0.06
intractable	62 0
posterjori	23.98 0.02
matically	11 0
ranked	20.92 0.08
esis	4 0
sification	0 17
fund	13.88 0.12
objec-	16 0
measure-	0.02 16.98
cross-entropy	0 26
hypoth-	4.98 0.02
cvpr	0 5
kluwer	22.16 50.84
left-hand	0 26
pitman	0 4
normalise	0 7
interestingly	12.56 1.44
user-defined	9.86 0.14
pacific	0 14
conditionally	34.98 0.02
smyth	14 0
infer-	14 0
asset	8.98 0.02
funds	11 0
sentation	3.48 31.52
j-measure	0.02 2.98
invalid	0 9
stocks	9 0
padhraic	6 0
assets	5.86 0.14
hubbard	0 11
avenue	25 0
aiming	0.2 7.8
personnaz	0 4
prescribe	6 0
gutfreund	5.84 3.16
cedex	15 0
distorsion	1 1
krogh	36.98 0.02
metastable	11.86 0.14
guyon	9 0
neighbout	0.44 5.56
mezard	3 0
television	0.22 6.78
mi	62 0
theeten	0.58 0.42
sourlas	3 0
codebook	0 19
gravity	14.82 0.18
sherrington	8 0
glass-like	0.72 1.28
philips	2.98 0.02
parisi	11.86 0.14
lupas	0.54 0.46
ttons	4 0
construed	0 7
bit-error	3 0
cen-	1.24 21.76
pling	18 0
rations	14 0
motivate	27 0
communica-	10.68 1.32
varanasi	0.5 0.5
strate-	6 0
reli-	0.04 7.96
subscribers	0 2
disturbed	7 0
transmitters	0 4
multiple-access	0.5 0.5
demodulation	0.04 2.96
outperforms	76 0
ative	30 0
near-far	0.56 0.44
configu-	8 2
erroneous	30 0
arg	47 0
mum	26 0
mentation	0 22
multiple-	0.12 4.88
effec-	16 0
gies	5 0
multistage	7.98 0.02
sampler	0.02 7.98
facing	0.04 16.96
fil-	0 17
multiuser	0.68 0.32
efficiencies	0 11
spread-spectrum	0.48 0.52
aazhang	0.56 0.44
alleviates	7 0
effi-	0.76 14.24
frequency-domain	0.04 3.96
quadrature	17.92 0.08
itive	0 18
availability	31 0
commercial	0.12 42.88
ployed	4.34 1.66
boeing	3.5 1.5
nearest-	6 0
jouny	0.5 0.5
trade-offs	8.96 0.04
decision-theoretic	19 0
surements	0 7
in-phase	0 3
out-performs	0 4
em-	36 0
maximum-	8 0
noncoherent	2 0
iden-	24.78 0.22
four-dimensional	5.78 0.22
backscatter	0 2
maximum-likelihood	35.98 0.02
fscl	0.62 0.38
lvq	14.9 0.1
compet-	6 0
krishnamurthy	0.52 0.48
centroid	0 30
perceived	0 56
lights	0.02 12.98
translational	0.08 23.92
constancies	0 6
locates	0 11
imagery	0 16
motions	19.12 12.88
perceives	0 9
diffuses	0.02 5.98
unexplained	8.96 0.04
bottom-up	0 42
seibert	0 2
flashed	0 7
flashes	0.02 4.98
rectified	0.22 18.78
direcfiy	4.88 0.12
pipe	3.96 0.04
localizing	0 10
saccades	0 19
masking	0 15
nadel	0 5
top-	0 7
saccadic	0 29
log-polar	0 2
farther	0 21
grouping	0 61
masked	0 12
diffusion-enhancement	0.14 1.86
multiscale	1.44 36.56
gaps	1.28 21.72
preattentive	0.12 11.88
cial	0 19
chair	2.12 0.88
regularize	12 0
black-and-white	0.02 3.98
marroquin	3.96 0.04
rubin	0 14
segmenting	0.02 33.98
ular	0 34
blake	13.94 0.06
foun-	0 14
zisserman	0 5
ond	0 11
gradi-	13 0
one-pass	0.04 2.96
segmen-	0.2 11.8
artifi-	1.16 11.84
don	11 0
mrf	10 0
luminance	0 19
richards	0 5
cie	0 3
triplet	5.98 0.02
filling-in	0.14 5.86
splits	43 0
disappear	21 0
jose	5.04 10.96
phe-	0 12
lambertian	1.02 2.98
localised	0.02 7.98
steven	32.14 9.86
cate-	0 11
mas-	0 16
illusion	0 10
aids	13 0
off-road	0 2
amherst	11 0
trait	5 0
cooperate	0 13
lighting	0 30
interactively	0 9
meter	11 0
cre-	0.02 14.98
snapshots	0.02 15.98
navigational	0.02 9.98
pomerleau	0 7
million	0 47
date	43.18 16.82
retinas	0 10
legitimate	5.34 1.66
on-board	6 0
non-road	0 2
avoidance	0 18
sensibly	0 4
navlab	0 3
leee	0 5
finder	3.4 2.6
point-to-point	0 7
schematics	6 0
martial	0 3
meters	1.98 6.02
months	0 22
campus	9.98 0.02
sibility	0.06 8.94
depicting	10 0
alvinn	0 3
spacecraft	5.98 0.02
uniqueness	28 0
microprocessors	0 4
inertial	0 16
attitude	0.02 7.98
slew	0 3
brightest	0 6
cosmic	1.52 0.48
on-	0.94 36.06
gyro	0 3
planetary	2.98 0.02
microprocessor	9 0
centtold	6.76 0.24
commanded	3.38 4.62
satellite	16 0
sky	0 10
smithsonian	0.04 2.96
motorola	0.02 6.98
discarded	22.82 0.18
prototyping	0 6
fov	0.1 1.9
tracker	0.06 19.94
barhen	5 0
core	0.34 41.66
state-of-the-art	38.98 0.02
stars	9.96 0.04
actuator	9.94 0.06
pre-trained	0.2 8.8
dimmer	0 2
sub-pixel	0 3
extraneous	19 0
sons	10 0
gallinari	4.98 0.02
retical	8.98 0.02
state-of-the	4 0
stray	1.36 7.64
binarized	0 6
wang	0.34 23.66
handprinted	4.08 2.92
writers	0.36 11.64
near-	0 15
thinning	0.46 2.54
mail	0.06 28.94
touching	0.02 11.98
high-performance	12.7 1.3
multi-digit	6.96 0.04
xy	0 19
rejects	0 8
hand-printed	0 23
zipcode	0.06 8.94
empha-	0.06 4.94
whichever	8 0
printed	0.3 32.7
pleasure	0 11
font	0 10
special-purpose	0 12
neigh-	37 0
roger	14 0
locating	0 30
routine	1.44 23.56
reproducible	4.96 0.04
nu-	0 14
outperformed	47.92 0.08
customized	0 9
tical	20.84 25.16
learning-from-examples	2.22 0.78
postal	23 0
parzen	22 0
patrick	15.94 0.06
pen	13 0
dataset	76.94 0.06
rejection	44 0
one-sided	6 0
radically	0.62 11.38
discern	0 7
weakness	29.98 0.02
perceive	0.02 23.98
bayse	0.42 0.58
large-	0 8
radicals	0.62 0.38
radical	0 4
input-layer	0 4
assembling	0 7
teachers	16.88 0.12
supposing	4.98 0.02
kanji	3.92 0.08
diagonals	5 0
yokosawa	0.4 0.6
visualizing	0 12
distort	0.16 7.84
dorothy	6 0
gorman	6 0
gathered	23.14 12.86
protection	3.56 2.44
losses	22 0
lowers	5 3
writer	11 0
fer	6 0
sato	2.46 2.54
neering	0 5
pulsed	0 9
deteriorates	9 0
fully-	0.22 6.78
fication	36 0
dsp	0 18
math	17.98 0.02
timothy	0 15
cards	0 8
deciphering	1.74 0.26
personalized	4 0
claims	27 0
engi-	0.04 7.96
professional	0 8
consumer	0.26 5.74
microsoft	21 0
signatures	8.9 0.1
centralized	5.78 0.22
sep	2.22 3.78
edition	7 0
genuine	5.94 0.06
signa-	1.96 1.04
business	16 0
dollars	5 0
offering	2.2 10.8
designating	0 4
daily	23 0
forgeries	0 2
matheus	0.34 1.66
else-	0.02 4.98
stressed	0.02 16.98
degree-of-freedom	0.02 9.98
sory	0 16
visual-field	0.26 0.74
evolved	0 38
episodes	0.14 13.86
extrapersonal	0 4
wander	1.34 8.66
appropri-	12 0
multi-stage	0.04 4.96
surpris-	3.98 0.02
interests	0 12
visually-guided	0 3
online	79 0
treat-	6 0
blobs	0.02 14.98
workspace	0.22 16.78
contribu-	0.02 4.98
massively-parallel	0 3
primates	0 15
neurally-inspired	0 5
combinatorially	8 0
planner	1.8 7.2
freely	0 26
overt	0 9
ingly	0.02 5.98
move-	0.06 17.94
augmenting	15.78 0.22
const	12 0
zone	17 0
torques	0.98 8.02
model-based	45.78 0.22
trajecto-	5.02 0.98
experimentation	0.18 19.82
arms	0 10
reserved	0 10
direct-drive	2 0
sin	50 0
parameterized	122 0
cancels	0 17
compensation	1.96 11.04
pearlmutter	21.82 0.18
decompose	41.88 0.12
torque	18.96 0.04
dd	3.9 0.1
photograph	0.02 9.98
randomly-generated	5 0
bat	0.06 7.94
rmss	0.52 0.48
fannie	4.94 0.06
weiss	16.96 0.04
impairs	1.76 3.24
atkeson	22 0
ries	0 7
rum	2.18 0.82
hertz	23 0
ge	12.7 5.3
fronts	0 2
icx	0 5
vlvp	0 2
duce	0 28
merged	0.78 21.22
localiza-	0 5
ronal	0 9
co-workers	2.34 3.66
centrally	0 10
sri	0.36 7.64
aging	0.22 10.78
